"buyingcomp","compregion","compcountry","uniqproddistributed"
"""BerryBase""","""Europe""","""Germany""","377"
"""BOTLAND B. DERKACZ SP.J.""","""Europe""","""Poland""","254"
"""Core Electronics""","""South_Pacific""","""Australia""","1712"
"""Digi-Key Electronics""","""North_America""","""United_States""","3379"
"""Distrelec""","""Europe""","""Switzerland""","282"
""" Electrolabo""","""North_America""","""Mexico""","1"
"""Elmwood Electronics""","""North_America""","""Canada""","423"
"""GeekFactory""","""North_America""","""Mexico""","3"
"""IM Ingenieria Multidisciplinaria""","""North_America""","""Mexico""","1"
"""Industrial Shields""","""Europe""","""Spain""","2"
"""JK EMC""","""Asia""","""South_Korea""","1"
"""Left Coast""","""North_America""","""United_States""","1"
"""Letmeknow""","""Europe""","""France""","282"
"""Little Bird Electronics""","""South_Pacific""","""Australia""","496"
"""Makersify""","""Europe""","""United_Kingdom""","1491"
"""MicroCenter""","""North_America""","""United_States""","362"
"""Mouser Electronics""","""North_America""","""United_States""","2950"
"""NTREX, Inc.- Devicemart""","""Asia""","""South_Korea""","351"
"""Pimoroni""","""Europe""","""United_Kingdom""","482"
"""Rastek""","""Asia""","""Pakistan""","1"
"""SEMAGEEK""","""Europe""","""France""","271"
"""Singapore Robotic""","""Asia""","""Singapore""","1"
"""SK Pang electronics""","""Europe""","""United_Kingdom""","2"
"""Tanna TechBiz LLP""","""Asia""","""India""","2"
"""TAW Global, LLC""","""North_America""","""United_States""","3"
"""The Pi Hut""","""Europe""","""United_Kingdom""","1491"
"""Thingbits Electronics""","""Asia""","""India""","2"
"""TinySine""","""Asia""","""China""","1"
"""Vistronica""","""South_America""","""Colombia""","4"
"""WhyMaker ""","""North_America""","""United_States""","1"
